"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68061","User can't transfer more then current deposit","","Sat Dec 20 21:11:41 UTC 2025","passed","Sat Dec 20 21:12:49 UTC 2025","","iteration2.ui.TransferTest","iteration2.ui.TransferTest","userCantTransferMoreThanCurrentDepositTest"
"","3980","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Dec 20 21:11:41 UTC 2025","passed","Sat Dec 20 21:11:45 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","14103","userCantDepositMoneyOnDifferentUserAccountTest()","","Sat Dec 20 21:11:33 UTC 2025","passed","Sat Dec 20 21:11:47 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositMoneyOnDifferentUserAccountTest"
"","6569","userCanCreateAccountTest()","","Sat Dec 20 21:11:33 UTC 2025","passed","Sat Dec 20 21:11:39 UTC 2025","","iteration1.api.CreateAccountTest","iteration1.api.CreateAccountTest","userCanCreateAccountTest"
"","3163","userCantDepositWrongAmountTest(double, String) [1] wrongBalance=0, errorMessage=Invalid account or amount","","Sat Dec 20 21:11:45 UTC 2025","passed","Sat Dec 20 21:11:49 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositWrongAmountTest"
"","5657","adminCanDeleteUserById()","","Sat Dec 20 21:11:33 UTC 2025","passed","Sat Dec 20 21:11:39 UTC 2025","","iteration2.api.UserManagementTest","iteration2.api.UserManagementTest","adminCanDeleteUserById"
"","8516","customerCanChangeHisUsernameTest()","","Sat Dec 20 21:11:33 UTC 2025","passed","Sat Dec 20 21:11:41 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","customerCanChangeHisUsernameTest"
"","15924","User can transfer money to another user account","","Sat Dec 20 21:11:33 UTC 2025","failed","Sat Dec 20 21:11:48 UTC 2025","","iteration2.ui.TransferTest","iteration2.ui.TransferTest","userCanTransferMoneyToAnotherUserAccountTest"
"","771","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [4] username=abc%, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Dec 20 21:11:45 UTC 2025","passed","Sat Dec 20 21:11:45 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","66679","User can login. User panel opened. Token saved at local storage","","Sat Dec 20 21:11:39 UTC 2025","passed","Sat Dec 20 21:12:46 UTC 2025","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
