"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68871","Authorized user can create an account. User dashboard opened. User create anew account. Positive alert. API return an account","","Sat Dec 20 21:57:32 UTC 2025","failed","Sat Dec 20 21:58:41 UTC 2025","","iteration1.ui.CreateAccountTest","iteration1.ui.CreateAccountTest","userCanCreateAccountTest"
"","13104","userCantDepositMoneyOnDifferentUserAccountTest()","","Sat Dec 20 21:57:24 UTC 2025","passed","Sat Dec 20 21:57:37 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositMoneyOnDifferentUserAccountTest"
"","13842","userCantTransferWrongAmountOfMoneyTest(double, double, String) [2] amountOfMoneyToDeposit=10.0, amountMoneyToTransfer=-1.0, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Sat Dec 20 21:57:24 UTC 2025","passed","Sat Dec 20 21:57:38 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCantTransferWrongAmountOfMoneyTest"
"","3745","userCantUpdateUsernameWithInvalidDataTest(String, String) [3] newName=Kate P!! , errorMessage=Name must contain two words with letters only","","Sat Dec 20 21:57:33 UTC 2025","passed","Sat Dec 20 21:57:37 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","userCantUpdateUsernameWithInvalidDataTest"
"","4518","Admin can't create new user with incorrect data. Negative alert. User not added in user list on UI. API return all users without wrong one","","Sat Dec 20 21:57:33 UTC 2025","passed","Sat Dec 20 21:57:38 UTC 2025","","iteration1.ui.CreateUserTest","iteration1.ui.CreateUserTest","adminCantCreateUserWithIncorrectDataTest"
"","5001","Admin can login. Admin panel opened. Token saved at local storage","","Sat Dec 20 21:57:30 UTC 2025","passed","Sat Dec 20 21:57:35 UTC 2025","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","4003","userCanGenerateAuthTokenTest()","","Sat Dec 20 21:57:25 UTC 2025","passed","Sat Dec 20 21:57:29 UTC 2025","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","5851","userCantUpdateUsernameWithInvalidDataTest(String, String) [2] newName= , errorMessage=Name must contain two words with letters only","","Sat Dec 20 21:57:29 UTC 2025","passed","Sat Dec 20 21:57:35 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","userCantUpdateUsernameWithInvalidDataTest"
"","5477","userCanCreateAccountTest()","","Sat Dec 20 21:57:24 UTC 2025","passed","Sat Dec 20 21:57:30 UTC 2025","","iteration1.api.CreateAccountTest","iteration1.api.CreateAccountTest","userCanCreateAccountTest"
"","524","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [4] username=abc%, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Dec 20 21:57:36 UTC 2025","passed","Sat Dec 20 21:57:37 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","2873","userCantDepositWrongAmountTest(double, String) [2] wrongBalance=-1, errorMessage=Invalid account or amount","","Sat Dec 20 21:57:37 UTC 2025","passed","Sat Dec 20 21:57:40 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositWrongAmountTest"
"","2551","userCantDepositWrongAmountTest(double, String) [3] wrongBalance=5000.01, errorMessage=Deposit amount exceeds the 5000 limit","","Sat Dec 20 21:57:35 UTC 2025","failed","Sat Dec 20 21:57:37 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositWrongAmountTest"
"","67049","User can login. User panel opened. Token saved at local storage","","Sat Dec 20 21:57:30 UTC 2025","passed","Sat Dec 20 21:58:37 UTC 2025","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","754","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Dec 20 21:57:37 UTC 2025","passed","Sat Dec 20 21:57:38 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","14333","User can't change his name with name with single word","","Sat Dec 20 21:57:24 UTC 2025","failed","Sat Dec 20 21:57:39 UTC 2025","","iteration2.ui.UpdateCustomerProfileTest","iteration2.ui.UpdateCustomerProfileTest","userCantChangeHisNameWithSingleWordTest"
"","2301","adminCanCreateUserWithCorrectData()","","Sat Dec 20 21:57:29 UTC 2025","passed","Sat Dec 20 21:57:31 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","11242","userCanTransferMoneyOnHisOwnAccountTest()","","Sat Dec 20 21:57:29 UTC 2025","passed","Sat Dec 20 21:57:40 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransferMoneyOnHisOwnAccountTest"
"","69703","User can't transfer more then current deposit","","Sat Dec 20 21:57:31 UTC 2025","passed","Sat Dec 20 21:58:41 UTC 2025","","iteration2.ui.TransferTest","iteration2.ui.TransferTest","userCantTransferMoreThanCurrentDepositTest"
"","9144","customerCanChangeHisUsernameTest()","","Sat Dec 20 21:57:24 UTC 2025","passed","Sat Dec 20 21:57:33 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","customerCanChangeHisUsernameTest"
