"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3873","userCantUpdateUsernameWithInvalidDataTest(String, String) [3] newName=Kate P!! , errorMessage=Name must contain two words with letters only","","Sat Dec 20 21:31:55 UTC 2025","passed","Sat Dec 20 21:31:59 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","userCantUpdateUsernameWithInvalidDataTest"
"","3939","userCantTransferWrongAmountOfMoneyTest(double, double, String) [1] amountOfMoneyToDeposit=10.0, amountMoneyToTransfer=0.0, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Sat Dec 20 21:31:58 UTC 2025","passed","Sat Dec 20 21:32:02 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCantTransferWrongAmountOfMoneyTest"
"","4825","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Dec 20 21:31:55 UTC 2025","passed","Sat Dec 20 21:32:00 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","73770","User can change his name","","Sat Dec 20 21:31:51 UTC 2025","failed","Sat Dec 20 21:33:05 UTC 2025","","iteration2.ui.UpdateCustomerProfileTest","iteration2.ui.UpdateCustomerProfileTest","userCanChangeHisNameTest"
"","3805","adminCanGenerateAuthTokenTest()","","Sat Dec 20 21:31:47 UTC 2025","passed","Sat Dec 20 21:31:51 UTC 2025","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","67179","User can login. User panel opened. Token saved at local storage","","Sat Dec 20 21:31:53 UTC 2025","passed","Sat Dec 20 21:33:00 UTC 2025","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","11442","userCanTransferMoneyOnHisOwnAccountTest()","","Sat Dec 20 21:31:51 UTC 2025","passed","Sat Dec 20 21:32:03 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransferMoneyOnHisOwnAccountTest"
"","4986","Admin can login. Admin panel opened. Token saved at local storage","","Sat Dec 20 21:31:53 UTC 2025","passed","Sat Dec 20 21:31:58 UTC 2025","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","6459","userCantUpdateUsernameWithInvalidDataTest(String, String) [2] newName= , errorMessage=Name must contain two words with letters only","","Sat Dec 20 21:31:52 UTC 2025","passed","Sat Dec 20 21:31:59 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","userCantUpdateUsernameWithInvalidDataTest"
"","4579","userCanGenerateAuthTokenTest()","","Sat Dec 20 21:31:48 UTC 2025","passed","Sat Dec 20 21:31:52 UTC 2025","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","70936","User can't transfer more then current deposit","","Sat Dec 20 21:31:53 UTC 2025","passed","Sat Dec 20 21:33:04 UTC 2025","","iteration2.ui.TransferTest","iteration2.ui.TransferTest","userCantTransferMoreThanCurrentDepositTest"
"","15390","User can transfer money to another user account","","Sat Dec 20 21:31:47 UTC 2025","failed","Sat Dec 20 21:32:02 UTC 2025","","iteration2.ui.TransferTest","iteration2.ui.TransferTest","userCanTransferMoneyToAnotherUserAccountTest"
"","3771","userCantTransferWrongAmountOfMoneyTest(double, double, String) [3] amountOfMoneyToDeposit=10.0, amountMoneyToTransfer=11.0, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Sat Dec 20 21:31:59 UTC 2025","passed","Sat Dec 20 21:32:03 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCantTransferWrongAmountOfMoneyTest"
