"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5509","userCantUpdateUsernameWithInvalidDataTest(String, String) [2] newName= , errorMessage=Name must contain two words with letters only","","Sat Dec 20 22:08:05 UTC 2025","passed","Sat Dec 20 22:08:10 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","userCantUpdateUsernameWithInvalidDataTest"
"","2600","adminCanCreateUserWithCorrectData()","","Sat Dec 20 22:08:03 UTC 2025","passed","Sat Dec 20 22:08:06 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","3781","userCantTransferWrongAmountOfMoneyTest(double, double, String) [3] amountOfMoneyToDeposit=10.0, amountMoneyToTransfer=11.0, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Sat Dec 20 22:08:12 UTC 2025","passed","Sat Dec 20 22:08:15 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCantTransferWrongAmountOfMoneyTest"
"","2526","userCantDepositWrongAmountTest(double, String) [2] wrongBalance=-1, errorMessage=Invalid account or amount","","Sat Dec 20 22:08:13 UTC 2025","passed","Sat Dec 20 22:08:15 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositWrongAmountTest"
"","13432","User can deposit money on his own account and transaction present in transaction","","Sat Dec 20 22:07:58 UTC 2025","passed","Sat Dec 20 22:08:11 UTC 2025","","iteration2.ui.DepositTest","iteration2.ui.DepositTest","userCanDepositMoneyOnHisOwnAccountTest"
"","69629","Authorized user can create an account. User dashboard opened. User create anew account. Positive alert. API return an account","","Sat Dec 20 22:08:05 UTC 2025","passed","Sat Dec 20 22:09:14 UTC 2025","","iteration1.ui.CreateAccountTest","iteration1.ui.CreateAccountTest","userCanCreateAccountTest"
"","5233","Admin can't create new user with incorrect data. Negative alert. User not added in user list on UI. API return all users without wrong one","","Sat Dec 20 22:08:06 UTC 2025","passed","Sat Dec 20 22:08:11 UTC 2025","","iteration1.ui.CreateUserTest","iteration1.ui.CreateUserTest","adminCantCreateUserWithIncorrectDataTest"
"","4904","userCanGenerateAuthTokenTest()","","Sat Dec 20 22:07:59 UTC 2025","passed","Sat Dec 20 22:08:03 UTC 2025","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","5621","userCantUpdateUsernameWithInvalidDataTest(String, String) [1] newName=Kate, errorMessage=Name must contain two words with letters only","","Sat Dec 20 22:08:03 UTC 2025","passed","Sat Dec 20 22:08:09 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","userCantUpdateUsernameWithInvalidDataTest"
"","6657","userCanCreateAccountTest()","","Sat Dec 20 22:07:58 UTC 2025","passed","Sat Dec 20 22:08:05 UTC 2025","","iteration1.api.CreateAccountTest","iteration1.api.CreateAccountTest","userCanCreateAccountTest"
"","14996","User can't change his name with name with single word","","Sat Dec 20 22:07:58 UTC 2025","passed","Sat Dec 20 22:08:13 UTC 2025","","iteration2.ui.UpdateCustomerProfileTest","iteration2.ui.UpdateCustomerProfileTest","userCantChangeHisNameWithSingleWordTest"
"","734","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [4] username=abc%, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Dec 20 22:08:11 UTC 2025","passed","Sat Dec 20 22:08:12 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","6671","adminCanDeleteUserById()","","Sat Dec 20 22:07:58 UTC 2025","passed","Sat Dec 20 22:08:05 UTC 2025","","iteration2.api.UserManagementTest","iteration2.api.UserManagementTest","adminCanDeleteUserById"
"","66985","User can't deposit 0 or -1 amount of money on deposit","","Sat Dec 20 22:08:10 UTC 2025","passed","Sat Dec 20 22:09:17 UTC 2025","","iteration2.ui.DepositTest","iteration2.ui.DepositTest","userCantDepositMoneyOnHisOwnAccountTest"
"","3758","userCanDepositMoneyOnHisOwnAccountTest()","","Sat Dec 20 22:08:11 UTC 2025","passed","Sat Dec 20 22:08:15 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanDepositMoneyOnHisOwnAccountTest"
"","6249","userCanTransferMoneyOnAnotherUserAccountTest()","","Sat Dec 20 22:08:09 UTC 2025","passed","Sat Dec 20 22:08:15 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransferMoneyOnAnotherUserAccountTest"
"","4374","adminCanGenerateAuthTokenTest()","","Sat Dec 20 22:07:58 UTC 2025","passed","Sat Dec 20 22:08:02 UTC 2025","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","3437","userCantUpdateUsernameWithInvalidDataTest(String, String) [3] newName=Kate P!! , errorMessage=Name must contain two words with letters only","","Sat Dec 20 22:08:08 UTC 2025","passed","Sat Dec 20 22:08:11 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","userCantUpdateUsernameWithInvalidDataTest"
"","501","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [2] username=ab, password=Password33$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Sat Dec 20 22:08:11 UTC 2025","passed","Sat Dec 20 22:08:12 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","71290","User can't transfer more then current deposit","","Sat Dec 20 22:08:02 UTC 2025","passed","Sat Dec 20 22:09:14 UTC 2025","","iteration2.ui.TransferTest","iteration2.ui.TransferTest","userCantTransferMoreThanCurrentDepositTest"
"","9877","customerCanChangeHisUsernameTest()","","Sat Dec 20 22:07:58 UTC 2025","passed","Sat Dec 20 22:08:08 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","customerCanChangeHisUsernameTest"
"","72594","User can transfer money between his own accounts","","Sat Dec 20 22:08:05 UTC 2025","failed","Sat Dec 20 22:09:17 UTC 2025","","iteration2.ui.TransferTest","iteration2.ui.TransferTest","userCanTransferMoneyBetweenHisOwnAccountsTest"
"","68594","Admin can login. Admin panel opened. Token saved at local storage","","Sat Dec 20 22:08:05 UTC 2025","passed","Sat Dec 20 22:09:13 UTC 2025","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","3683","userCantDepositWrongAmountTest(double, String) [1] wrongBalance=0, errorMessage=Invalid account or amount","","Sat Dec 20 22:08:09 UTC 2025","passed","Sat Dec 20 22:08:13 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositWrongAmountTest"
