"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4962","userCantUpdateUsernameWithInvalidDataTest(String, String) [2] newName= , errorMessage=Name must contain two words with letters only","","Sat Dec 20 21:53:31 UTC 2025","passed","Sat Dec 20 21:53:36 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","userCantUpdateUsernameWithInvalidDataTest"
"","789","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Dec 20 21:53:39 UTC 2025","passed","Sat Dec 20 21:53:39 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","14563","User can't change his name with name with single word","","Sat Dec 20 21:53:24 UTC 2025","passed","Sat Dec 20 21:53:39 UTC 2025","","iteration2.ui.UpdateCustomerProfileTest","iteration2.ui.UpdateCustomerProfileTest","userCantChangeHisNameWithSingleWordTest"
"","4927","userCanGenerateAuthTokenTest()","","Sat Dec 20 21:53:25 UTC 2025","passed","Sat Dec 20 21:53:30 UTC 2025","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","6611","userCanCreateAccountTest()","","Sat Dec 20 21:53:24 UTC 2025","passed","Sat Dec 20 21:53:31 UTC 2025","","iteration1.api.CreateAccountTest","iteration1.api.CreateAccountTest","userCanCreateAccountTest"
"","2192","adminCanCreateUserWithCorrectData()","","Sat Dec 20 21:53:30 UTC 2025","passed","Sat Dec 20 21:53:32 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","3262","userCantDepositWrongAmountTest(double, String) [2] wrongBalance=-1, errorMessage=Invalid account or amount","","Sat Dec 20 21:53:39 UTC 2025","passed","Sat Dec 20 21:53:43 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositWrongAmountTest"
"","580","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [2] username=ab, password=Password33$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Sat Dec 20 21:53:38 UTC 2025","passed","Sat Dec 20 21:53:39 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","2846","User can login. User panel opened. Token saved at local storage","","Sat Dec 20 21:53:40 UTC 2025","passed","Sat Dec 20 21:53:42 UTC 2025","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","9935","userCanTransferMoneyOnAnotherUserAccountTest()","","Sat Dec 20 21:53:32 UTC 2025","passed","Sat Dec 20 21:53:42 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransferMoneyOnAnotherUserAccountTest"
"","14609","User can deposit money on his own account and transaction present in transaction","","Sat Dec 20 21:53:24 UTC 2025","passed","Sat Dec 20 21:53:39 UTC 2025","","iteration2.ui.DepositTest","iteration2.ui.DepositTest","userCanDepositMoneyOnHisOwnAccountTest"
"","6918","adminCanDeleteUserById()","","Sat Dec 20 21:53:24 UTC 2025","passed","Sat Dec 20 21:53:31 UTC 2025","","iteration2.api.UserManagementTest","iteration2.api.UserManagementTest","adminCanDeleteUserById"
