"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5632","userCanTransferMoneyOnAnotherUserAccountTest()","","Wed Dec 17 00:08:00 UTC 2025","passed","Wed Dec 17 00:08:06 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransferMoneyOnAnotherUserAccountTest"
"","15320","userCanTransferMoneyOnHisOwnAccountTest()","","Wed Dec 17 00:07:49 UTC 2025","passed","Wed Dec 17 00:08:04 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransferMoneyOnHisOwnAccountTest"
"","5550","Admin can login. Admin panel opened. Token saved at local storage","","Wed Dec 17 00:07:55 UTC 2025","passed","Wed Dec 17 00:08:00 UTC 2025","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","1269","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [4] username=abc%, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Wed Dec 17 00:07:57 UTC 2025","passed","Wed Dec 17 00:07:58 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","5731","userCantUpdateUsernameWithInvalidDataTest(String, String) [2] newName= , errorMessage=Name must contain two words with letters only","","Wed Dec 17 00:07:55 UTC 2025","passed","Wed Dec 17 00:08:01 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","userCantUpdateUsernameWithInvalidDataTest"
"","66881","User can't transfer more then current deposit","","Wed Dec 17 00:08:00 UTC 2025","passed","Wed Dec 17 00:09:07 UTC 2025","","iteration2.ui.TransferTest","iteration2.ui.TransferTest","userCantTransferMoreThanCurrentDepositTest"
"","2371","userCanGenerateAuthTokenTest()","","Wed Dec 17 00:07:53 UTC 2025","passed","Wed Dec 17 00:07:55 UTC 2025","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","14027","userCantTransferWrongAmountOfMoneyTest(double, double, String) [2] amountOfMoneyToDeposit=10.0, amountMoneyToTransfer=-1.0, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Wed Dec 17 00:07:49 UTC 2025","passed","Wed Dec 17 00:08:03 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCantTransferWrongAmountOfMoneyTest"
"","6998","userCantDepositWrongAmountTest(double, String) [3] wrongBalance=5000.01, errorMessage=Deposit amount exceeds the 5000 limit","","Wed Dec 17 00:07:50 UTC 2025","failed","Wed Dec 17 00:07:57 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositWrongAmountTest"
"","963","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Wed Dec 17 00:07:59 UTC 2025","passed","Wed Dec 17 00:08:00 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
